cut_id,movie_id,shot_left_idx,shot_right_idx,y,v15_score,logistic_score,raw_dino_cosine_score,hsv_score,clip_score,cos_sim,left_img0_path,left_img1_path,left_img2_path,right_img0_path,right_img1_path,right_img2_path
tt0409459_0028,tt0409459,28,29,0,0.9982476,0.9941521391590513,0.9953383,0.5997971438507387,0.4582582116127014,0.0046616793,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0409459/shot_0028_img_0.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0409459/shot_0028_img_1.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0409459/shot_0028_img_2.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0409459/shot_0029_img_0.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0409459/shot_0029_img_1.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0409459/shot_0029_img_2.jpg
tt0281358_0342,tt0281358,342,343,0,0.9981887,0.9725958386242042,1.0257373,0.6234016367912966,0.375358521938324,-0.025737286,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0281358/shot_0342_img_0.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0281358/shot_0342_img_1.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0281358/shot_0342_img_2.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0281358/shot_0343_img_0.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0281358/shot_0343_img_1.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0281358/shot_0343_img_2.jpg
tt0253474_0929,tt0253474,929,930,0,0.99668854,0.9707400934817473,1.013493,0.5907216140718775,0.26422959566116333,-0.013492942,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0253474/shot_0929_img_0.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0253474/shot_0929_img_1.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0253474/shot_0929_img_2.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0253474/shot_0930_img_0.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0253474/shot_0930_img_1.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0253474/shot_0930_img_2.jpg
tt0068646_0653,tt0068646,653,654,0,0.9965321,0.9876195587661296,0.9394191,0.5228516551009716,0.42307472229003906,0.06058091,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0068646/shot_0653_img_0.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0068646/shot_0653_img_1.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0068646/shot_0653_img_2.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0068646/shot_0654_img_0.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0068646/shot_0654_img_1.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0068646/shot_0654_img_2.jpg
tt0178868_0637,tt0178868,637,638,0,0.9964503,0.9625801969673664,0.89707017,0.49262363799707315,0.28294914960861206,0.10292983,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0178868/shot_0637_img_0.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0178868/shot_0637_img_1.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0178868/shot_0637_img_2.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0178868/shot_0638_img_0.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0178868/shot_0638_img_1.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0178868/shot_0638_img_2.jpg
tt0119488_1048,tt0119488,1048,1049,0,0.996207,0.9590465807864765,1.0057414,0.5728594945722763,0.305256724357605,-0.005741358,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0119488/shot_1048_img_0.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0119488/shot_1048_img_1.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0119488/shot_1048_img_2.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0119488/shot_1049_img_0.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0119488/shot_1049_img_1.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0119488/shot_1049_img_2.jpg
tt1375666_0207,tt1375666,207,208,0,0.9955929,0.9398501430230984,0.8750837,0.5609294477491494,0.3872867822647095,0.124916315,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt1375666/shot_0207_img_0.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt1375666/shot_0207_img_1.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt1375666/shot_0207_img_2.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt1375666/shot_0208_img_0.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt1375666/shot_0208_img_1.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt1375666/shot_0208_img_2.jpg
tt0253474_0937,tt0253474,937,938,0,0.9950653,0.9750379179871576,0.9489631,0.8136305457151611,0.37463146448135376,0.051036894,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0253474/shot_0937_img_0.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0253474/shot_0937_img_1.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0253474/shot_0937_img_2.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0253474/shot_0938_img_0.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0253474/shot_0938_img_1.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0253474/shot_0938_img_2.jpg
tt1119646_0014,tt1119646,14,15,0,0.99449605,0.7193401179131421,0.7862716,0.42386073470988167,0.3848733901977539,0.21372843,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt1119646/shot_0014_img_0.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt1119646/shot_0014_img_1.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt1119646/shot_0014_img_2.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt1119646/shot_0015_img_0.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt1119646/shot_0015_img_1.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt1119646/shot_0015_img_2.jpg
tt0116922_0037,tt0116922,37,38,0,0.9944853,0.9882670702253813,1.006778,0.7952168558133443,0.2904219627380371,-0.006778002,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0116922/shot_0037_img_0.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0116922/shot_0037_img_1.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0116922/shot_0037_img_2.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0116922/shot_0038_img_0.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0116922/shot_0038_img_1.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0116922/shot_0038_img_2.jpg
