cut_id,movie_id,shot_left_idx,shot_right_idx,y,v15_score,logistic_score,raw_dino_cosine_score,hsv_score,clip_score,cos_sim,left_img0_path,left_img1_path,left_img2_path,right_img0_path,right_img1_path,right_img2_path,kind
tt1205489_0945,tt1205489,945,946,1,0.9990274,0.983913959844878,0.99806255,0.4685877876531943,0.3171766996383667,0.001937449,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt1205489/shot_0945_img_0.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt1205489/shot_0945_img_1.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt1205489/shot_0945_img_2.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt1205489/shot_0946_img_0.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt1205489/shot_0946_img_1.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt1205489/shot_0946_img_2.jpg,well_handled_positive
tt0116282_0376,tt0116282,376,377,1,0.99900264,0.9830936134115117,0.96774554,0.8571792944538275,0.4954338073730469,0.032254457,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0116282/shot_0376_img_0.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0116282/shot_0376_img_1.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0116282/shot_0376_img_2.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0116282/shot_0377_img_0.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0116282/shot_0377_img_1.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0116282/shot_0377_img_2.jpg,well_handled_positive
tt2582846_1421,tt2582846,1421,1422,1,0.998514,0.9795331714886284,0.9996209,0.44435789308171925,0.3344915509223938,0.00037908554,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt2582846/shot_1421_img_0.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt2582846/shot_1421_img_1.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt2582846/shot_1421_img_2.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt2582846/shot_1422_img_0.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt2582846/shot_1422_img_1.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt2582846/shot_1422_img_2.jpg,well_handled_positive
tt0409459_1102,tt0409459,1102,1103,1,0.9984653,0.9755105762140104,0.94251275,0.7873753196197366,0.4636695981025696,0.05748725,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0409459/shot_1102_img_0.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0409459/shot_1102_img_1.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0409459/shot_1102_img_2.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0409459/shot_1103_img_0.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0409459/shot_1103_img_1.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0409459/shot_1103_img_2.jpg,well_handled_positive
tt0124315_0487,tt0124315,487,488,1,0.99840313,0.9914056178461751,0.8773013,0.6592815842785686,0.33239978551864624,0.122698724,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0124315/shot_0487_img_0.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0124315/shot_0487_img_1.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0124315/shot_0487_img_2.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0124315/shot_0488_img_0.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0124315/shot_0488_img_1.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0124315/shot_0488_img_2.jpg,well_handled_positive
tt0068646_0785,tt0068646,785,786,1,0.99824774,0.991519449934234,0.919939,0.4648576861175703,0.3617591857910156,0.08006102,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0068646/shot_0785_img_0.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0068646/shot_0785_img_1.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0068646/shot_0785_img_2.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0068646/shot_0786_img_0.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0068646/shot_0786_img_1.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0068646/shot_0786_img_2.jpg,well_handled_positive
tt0780571_0735,tt0780571,735,736,1,0.997985,0.9891122337178935,0.94690055,0.730022818987785,0.4069027304649353,0.053099453,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0780571/shot_0735_img_0.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0780571/shot_0735_img_1.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0780571/shot_0735_img_2.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0780571/shot_0736_img_0.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0780571/shot_0736_img_1.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0780571/shot_0736_img_2.jpg,well_handled_positive
tt0100405_1055,tt0100405,1055,1056,1,0.99793065,0.9771758463328202,0.9151069,0.4730355575887447,0.4064653515815735,0.08489311,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0100405/shot_1055_img_0.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0100405/shot_1055_img_1.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0100405/shot_1055_img_2.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0100405/shot_1056_img_0.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0100405/shot_1056_img_1.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0100405/shot_1056_img_2.jpg,well_handled_positive
tt0124315_0953,tt0124315,953,954,1,0.99786156,0.9119270136714948,0.9426226,0.8697044553065623,0.5231643915176392,0.057377398,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0124315/shot_0953_img_0.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0124315/shot_0953_img_1.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0124315/shot_0953_img_2.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0124315/shot_0954_img_0.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0124315/shot_0954_img_1.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0124315/shot_0954_img_2.jpg,well_handled_positive
tt0107290_0476,tt0107290,476,477,1,0.9978362,0.9790800330141414,0.8815288,0.5085920730385218,0.3227207660675049,0.118471205,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0107290/shot_0476_img_0.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0107290/shot_0476_img_1.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0107290/shot_0476_img_2.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0107290/shot_0477_img_0.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0107290/shot_0477_img_1.jpg,/mnt/disks/splice-data/datasets/movienet/240P_frames/tt0107290/shot_0477_img_2.jpg,well_handled_positive
