pair_id,bucket,bucket_rank,v2_seed0,v2_seed1,v2_seed2,v2_3seed_mean,v2_3seed_std,v0_logistic,v1_5_MLP,clip_cos
A015,major,2,0.07428684830665588,0.24506407976150513,0.16811591386795044,0.16248894731203714,0.08552755556142015,0.1668120023584531,0.035698242,0.2305302619934082
A002,drift,1,0.0785210132598877,0.10858942568302155,0.19121712446212769,0.12610918780167898,0.058355033360865005,0.0095852511852311,0.008480479,0.1110663414001464
A003,clean,0,0.12377894669771194,0.08223796635866165,0.12724116444587708,0.11108602583408356,0.02504305571524843,0.0297783741552275,0.039554518,0.1044798493385315
A011,drift,1,0.050425175577402115,0.048935092985630035,0.026798982173204422,0.04205308357874552,0.013231432038916793,0.038451432140706,0.075132154,0.0489667654037475
A005,major,2,0.00567074678838253,0.07918090373277664,0.03683065250515938,0.040560767675439514,0.03689676290523369,0.0656700409941321,0.24273553,0.272057831287384
A001,drift,1,0.044294167309999466,0.02337513118982315,0.045177243649959564,0.03761551404992739,0.012340434917672567,0.0751758929853857,0.05248703,0.0905216932296752
A014,drift,1,0.020923443138599396,0.039708349853754044,0.029653187841176987,0.030094993611176808,0.00940024331217386,0.0127584844264079,0.0066781263,0.1207045316696167
A004,drift,1,0.02689560130238533,0.03693157434463501,0.018374552950263023,0.027400576199094456,0.009288811037615346,0.0500501570320551,0.013052958,0.1208811402320861
A012,drift,1,0.008236323483288288,0.009085732512176037,0.016709379851818085,0.011343811949094137,0.004666086488015959,0.0207719201911818,0.08224065,0.0965203046798706
A013,clean,0,0.00035275507252663374,0.001790011883713305,0.0008309210534207523,0.0009912293365535636,0.0007319158725949055,0.0044301422502617,0.0041054855,0.0949348211288452
